Date,Russia,Iran,Venezuela,Bangladesh,UAE,Ecuador,Egypt,Spain,Catalonia,China,Saudi Arabia,Serbia,Unknown,Honduras,Indonesia,Ghana/Nigeria,Turkey,Cuba,Thailand
2018-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-10-01,3841,770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-11-01,3841,770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-12-01,3841,770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-01,4257,3090,1960,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-01,4257,3090,1960,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-01,4257,3090,1960,15,4248,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-04-01,4257,3090,1960,15,4248,1019,271,259,0,0,6,0,0,0,0,0,0,0,0
2019-05-01,4257,3090,1960,15,4248,1019,271,259,0,0,6,0,0,0,0,0,0,0,0
2019-06-01,4261,7869,1993,15,4248,1019,271,259,130,0,6,0,0,0,0,0,0,0,0
2019-07-01,4261,7869,1993,15,4248,1019,271,259,130,5241,6,0,0,0,0,0,0,0,0
2019-08-01,4261,7869,1993,15,4248,1019,271,259,130,5241,6,0,0,0,0,0,0,0,0
2019-09-01,4261,7869,1993,15,4248,1019,271,259,130,5241,6,0,0,0,0,0,0,0,0
2019-10-01,4261,7869,1993,15,4248,1019,271,259,130,5241,5935,0,0,0,0,0,0,0,0
2019-11-01,4261,7869,1993,15,4248,1019,271,259,130,5241,5935,0,0,0,0,0,0,0,0
2019-12-01,4261,7869,1993,15,4248,1019,271,259,130,5241,5935,0,0,0,0,0,0,0,0
2020-01-01,4261,7869,1993,15,4248,1019,271,259,130,5241,5935,0,0,0,0,0,0,0,0
2020-02-01,4261,7869,1993,15,4248,1019,2812,259,130,5241,5935,8558,5350,3104,795,0,0,0,0
2020-03-01,4261,7869,1993,15,4248,1019,2812,259,130,5241,5935,8558,5350,3104,795,71,0,0,0
2020-04-01,4261,7869,1993,15,4248,1019,2812,259,130,5241,5935,8558,5350,3104,795,71,0,0,0
2020-05-01,5413,7869,1993,15,4248,1019,2812,259,130,28991,5935,8558,5350,3104,795,71,7340,0,0
2020-06-01,5413,7869,1993,15,4248,1019,2812,259,130,28991,5935,8558,5350,3104,795,71,7340,0,0
2020-07-01,5413,7869,1993,15,4248,1019,2812,259,130,28991,5935,8558,5350,3104,795,71,7340,0,0
2020-08-01,5413,7869,1993,15,4248,1019,2812,259,130,28991,5935,8558,5350,3104,795,71,7340,0,0
2020-09-01,5418,7973,1993,15,4248,1019,2812,259,130,28991,5968,8558,5350,3104,795,71,7340,526,926